#flow size in KB,cdf value
71.427765,0.000699301
72.565851,0.017272727
108.231389,0.021645229
167.226643,0.035421656
336.067923,0.176923077
408.96076,0.186962353
535.64035,0.276258191
851.447136,0.353822737
1402.786585,0.408875749
2552.374959,0.445100976
4642.48261,0.463620108
8443.022511,0.475138104
14248.63953,0.484764665
32430.27852,0.503520931
56623.81887,0.515564013
102994.1291,0.534986516
182407.5342,0.580819108
282041.8311,0.632944691
448092.8148,0.682823387
815052.8972,0.702787914
1434756.493,0.715218316
1900265.174,0.764335664
2294411.492,0.822670252
2741806.95,0.900954449
3113431.527,0.981118881
3520030.907,0.999300699
